R.FileName,R.Condition,R.Replicate,distinct_ions,distinct_modified_peptides,distinct_peptides,distinct_proteins
XTT001_EVOSE...9_S3-F2_1_1632,cancer,4,22616,19594,18285,3048
XTT001_EVOSE...4_S3-C2_1_1637,cancer,5,19926,17148,15979,2744
XTT001_EVOSE...5_S3-D7_1_1668,cancer,10,25000,21572,20220,3227
XTT001_EVOSE...7_S3-B2_1_1680,cancer,12,23948,20755,19371,3130
XTT001_EVOSE...5_S3-G7_1_1604,cancer,16,18823,16065,15020,2573
XTT001_EVOSE...0_S3-A7_1_1812,control,7,18671,16014,14887,2564
XTT001_EVOSE...0_S3-H7_1_1752,control,12,25641,22257,20865,3334
