PG.ProteinGroups,cancer,control
O95633,1,1
O95671,1,1
O95674,1,1
O95721,1,1
O95747,1,1
O95757,1,1
O95782,1,1
O95793,1,0
O95810,1,1
O95816,1,1
O95819,1,1
O95822,1,1
O95825,1,1
O95831,1,1
O95834,1,1
O95858,1,1
O95866,1,1
O95870,1,1
O95881,1,1
O95965,1,1
O95967,1,1
O95989,1,1
O96000,1,1
O96008,1,1
O96009,1,1
O96011,1,1
P00167,1,1
P00325,1,1
P00338,1,1
P00352,1,1
P00367,1,1
P00387,1,1
P00390,1,1
P00395,1,1
P00403,1,1
P00441,1,1
P00450,1,1
P00451,1,1
P00488,1,1
P00491,1,1
P00492,1,1
P00505,1,1
P00558,1,1
P00568,1,1
P00734,1,1
P00736,1,1
P00738,1,1
P00739,1,1
P00740,1,1
P00742,1,1
P00746,1,1
P00747,1,1
P00748,1,1
P00750,1,1
P00751,1,1
P00761,1,1
P00915,1,1
P00918,1,1
P00966,1,1
P01008,1,1
P01009,1,1
P01011,1,1
P01019,1,1
P01023,1,1
P01024,1,1
P01031,1,1
P01033,1,1
P01034,1,1
P01042,1,1
P01111,1,1
P01116,1,1
P01127,1,1
P01130,1,1
P01133,1,1
P01137,1,1
P01266,1,1
P01275,1,1
P01303,1,1
P01344,1,1
P01350,1,1
P01591,1,1
P01619,1,1
P01624,1,1
P01700,1,1
P01701,1,1
P01703,1,1
P01706,1,1
P01714,1,1
P01717,1,1
P01742,1,1
P01764,1,1
P01766,1,1
P01768;P0DP03,1,1
P01780,1,1
P01782;P0DP04,1,1
P01817,1,1
P01833,1,1
P01834,1,1
P01859,1,1
P01860,1,1
P01861,1,1
P01871,1,1
P01876,1,1
P01880,1,1
P01889,1,1
P01903,1,1
P02042,1,1
P02452,1,1
P02533,1,1
P02545,1,1
P02549,1,1
P02585,1,1
P02647,1,1
P02649,1,1
P02652,1,1
P02654,1,1
P02655,1,1
P02656,1,1
P02671,1,1
P02675,1,1
P02679,1,1
P02686,1,1
P02730,1,1
P02741,1,1
P02743,1,1
P02745,1,1
P02746,1,1
P02747,1,1
P02748,1,1
P02749,1,1
P02750,1,1
P02751,1,1
P02753,1,1
P02760,1,1
P02763,1,1
P02765,1,1
P02766,1,1
P02768,1,1
P02774,1,1
P02775,1,1
P02776,1,1
P02778,1,1
P02786,1,1
P02787,1,1
P02788,1,1
P02790,1,1
P02792,1,1
P02794,1,1
P02818,1,1
P03905,1,1
P03950,1,1
P03951,1,1
P03952,1,1
P03956,1,1
P03973,1,1
P04003,1,1
P04004,1,1
P04040,1,1
P04062,1,1
P04066,1,1
P04070,1,1
P04075,1,1
P04080,1,1
P04083,1,1
P04114,1,1
P04156,1,1
P04179,1,1
P04180,1,1
P04196,1,1
P04217,1,1
P04233,1,1
P04259,1,1
P04264,1,1
P04271,1,1
P04275,1,1
P04278,1,1
P04406,1,1
P04424,1,1
P04430,1,1
P04433,1,1
P04439,1,1
P04632,1,1
P04792,1,1
P04839,1,1
P04843,1,1
P04844,1,1
P04899,1,1
P04920,1,1
P05019,1,1
P05023,1,1
P05060,1,1
P05062,1,0
P05067,1,1
P05090,1,1
P05106,1,1
P05107,1,1
P05109,1,1
P05121,1,1
P05141,1,1
P05154,1,1
P05155,1,1
P05156,1,1
P05160,1,1
P05164,1,1
P05165,1,1
P05166,1,1
P05198,1,1
P05362,1,1
P05386,1,1
P05387,1,1
P05388,1,1
P05408,1,1
P05452,1,1
P05543,1,1
P05546,1,1
P05556,1,1
P05771,1,1
P05787,1,1
P05976,1,1
P06132,1,1
P06239,1,1
P06241,1,1
P06276,1,1
P06280,1,1
P06310,1,1
P06312,1,1
P06331,1,1
P06396,1,1
P06576,1,1
P06681,1,1
P06702,1,1
P06727,1,1
P06730,1,1
P06733,1,1
P06734,1,1
P06737,1,1
P06744,1,1
P06748,1,1
P06753,1,1
P06756,1,1
P06858,1,1
P06865,1,1
P07093,1,1
P07099,1,1
P07108,1,1
P07195,1,1
P07203,1,1
P07225,1,1
P07237,1,1
P07306,1,1
P07307,1,1
P07332,1,1
P07339,1,1
P07355,1,1
P07357,1,1
P07358,1,1
P07359,1,1
P07360,1,1
P07384,1,1
P07437,1,1
P07477,1,1
P07478,1,1
P07585,1,1
P07602,1,1
P07686,1,1
P07711,1,1
P07737,1,1
P07741,1,1
P07814,1,1
P07858,1,1
P07900,1,1
P07910,1,1
P07942,1,1
P07947,1,1
P07948,1,1
P07951,1,1
P07954,1,1
P07988,1,0
P07996,1,1
P07998,1,1
P08123,1,1
P08133,1,1
P08174,1,1
P08185,1,1
P08195,1,1
P08236,1,1
P08237,1,1
P08238,1,1
P08240,1,1
P08253,1,1
P08254,1,1
P08294,1,1
P08311,1,1
P08319,1,1
P08397,1,0
P08493,1,1
P08514,1,1
P08519,1,1
P08559,1,1
P08567,1,1
P08571,1,1
P08574,1,1
P08575,1,1
P08590,1,1
P08603,1,1
P08631,1,1
P08648,1,1
P08670,1,1
P08697,1,1
P08708,1,1
P08709,1,1
P08727,1,0
P08754,1,1
P08758,1,1
P08833,1,1
P08865,1,1
P08962,1,1
P09104,1,1
P09110,1,1
P09172,1,1
P09211,1,1
P09237,1,1
P09238,1,1
P09382,1,1
P09417,1,1
P09429,1,1
P09455,1,1
P09466,1,1
P09486,1,1
P09488,1,1
P09493,1,1
P09496,1,1
P09497,1,1
P09529,1,1
P09543,1,1
P09603,1,1
P09619,1,1
P09622,1,1
P09651,1,1
P09681,1,1
P09769,1,1
P09871,1,1
P09960,1,1
P0C0L4,1,1
P0C0L5,1,1
P0C0S5;Q71UI9,1,0
P0C7M8,1,1
P0C7P3,1,1
P0CG39,1,1
P0CG47;P0CG48;P62979;P62987,1,1
P0DI81;P0DI82,1,1
P0DJI8,1,1
P0DJI9,1,1
P0DMM9;P0DMN0,1,1
P0DMV8;P0DMV9,1,1
P0DOX2,1,1
P0DOX3,1,1
P0DOX5,1,1
P0DOX6,1,1
P0DOX7,1,1
P0DOY2;P0DOY3,1,1
P0DP23;P0DP24;P0DP25,1,1
P10114,1,1
P10124,1,1
P10155,1,1
P10253,1,1
P10301,1,1
P10321,1,1
P10398,1,1
P10412,1,1
P10451,1,1
P10515,1,1
P10586,1,1
P10599,1,1
P10606,1,1
P10619,1,1
P10620,1,1
P10643,1,1
P10644,1,1
P10645,1,1
P10646,1,1
P10720,1,1
P10768,1,1
P10809,1,1
P10909,1,1
P10915,1,1
P10916,1,1
P11021,1,1
P11047,1,1
P11049,1,1
P11142,1,1
P11150,1,1
P11166,1,1
