R.FileName,R.Condition,R.Replicate,distinct_ions,distinct_modified_peptides,distinct_peptides,distinct_proteins,ion_ID_outlier
20230224_Exp...S_OT2_MixA_TR1,HYE mix A,1,129970,102659,97100,10455,no
20230224_Exp...S_OT2_MixA_TR2,HYE mix A,2,134781,106535,100379,10571,no
20230224_Exp...S_OT2_MixA_TR3,HYE mix A,3,133693,105692,99857,10534,no
20230224_Exp...S_OT2_MixA_TR4,HYE mix A,4,131750,104177,98340,10510,no
20230224_Exp...S_OT2_MixB_TR1,HYE mix B,1,133156,104928,99002,10545,no
20230224_Exp...S_OT2_MixB_TR2,HYE mix B,2,137680,108466,102293,10631,no
20230224_Exp...S_OT2_MixB_TR3,HYE mix B,3,137459,108215,102131,10630,no
20230224_Exp...S_OT2_MixB_TR4,HYE mix B,4,135975,107065,100749,10589,no
