R.FileName,R.Condition,R.Replicate,<0.01,>0.01
20230224_Exp...S_OT2_MixA_TR1,HYE mix A,1,129971,12960
20230224_Exp...S_OT2_MixA_TR2,HYE mix A,2,134781,8149
20230224_Exp...S_OT2_MixA_TR3,HYE mix A,3,133693,9237
20230224_Exp...S_OT2_MixA_TR4,HYE mix A,4,131750,11180
20230224_Exp...S_OT2_MixB_TR1,HYE mix B,1,133157,9774
20230224_Exp...S_OT2_MixB_TR2,HYE mix B,2,137680,5250
20230224_Exp...S_OT2_MixB_TR3,HYE mix B,3,137459,5471
20230224_Exp...S_OT2_MixB_TR4,HYE mix B,4,135976,6955
