R.FileName,R.FileName_raw,R.Condition,R.Replicate
20230224_Exp...S_OT2_MixA_TR1,20230224_Exp_SM_MethMS_OT2_MixA_TR1,HYE mix A,1
20230224_Exp...S_OT2_MixA_TR2,20230224_Exp_SM_MethMS_OT2_MixA_TR2,HYE mix A,2
20230224_Exp...S_OT2_MixA_TR3,20230224_Exp_SM_MethMS_OT2_MixA_TR3,HYE mix A,3
20230224_Exp...S_OT2_MixA_TR4,20230224_Exp_SM_MethMS_OT2_MixA_TR4,HYE mix A,4
20230224_Exp...S_OT2_MixB_TR1,20230224_Exp_SM_MethMS_OT2_MixB_TR1,HYE mix B,1
20230224_Exp...S_OT2_MixB_TR2,20230224_Exp_SM_MethMS_OT2_MixB_TR2,HYE mix B,2
20230224_Exp...S_OT2_MixB_TR3,20230224_Exp_SM_MethMS_OT2_MixB_TR3,HYE mix B,3
20230224_Exp...S_OT2_MixB_TR4,20230224_Exp_SM_MethMS_OT2_MixB_TR4,HYE mix B,4
