R.FileName,R.Condition,MC_0,MC_1,MC_2,total_peptide_count,MC_peptide_count,MC_percentage
20230224_Exp...S_OT2_MixA_TR1,HYE mix A,84731,11712,657,97100,12369,12.738414006179196
20230224_Exp...S_OT2_MixA_TR2,HYE mix A,87495,12189,695,100379,12884,12.835354008308512
20230224_Exp...S_OT2_MixA_TR3,HYE mix A,87028,12133,696,99857,12829,12.847371741590475
20230224_Exp...S_OT2_MixA_TR4,HYE mix A,85636,12010,694,98340,12704,12.91844620703681
20230224_Exp...S_OT2_MixB_TR1,HYE mix B,86257,12041,704,99002,12745,12.873477303488817
20230224_Exp...S_OT2_MixB_TR2,HYE mix B,89145,12426,722,102293,13148,12.853274417604332
20230224_Exp...S_OT2_MixB_TR3,HYE mix B,88981,12427,723,102131,13150,12.87562052657861
20230224_Exp...S_OT2_MixB_TR4,HYE mix B,87780,12256,713,100749,12969,12.872584343268917
