slr,t,score,n,p,p.fdr,PG.ProteinGroups,group1,group2,slr_ratio_meta,test,type,significant_changed,significant_changed_raw_p,significant_changed_fc,significant_changed_p_value,fold_change_absolute,fold_change_direction,fold_change,effect_size_method,d,d_pooled_SD,d_95CI_lower,d_95CI_upper,d_magnitute,group1__mean_iBAQ,group_1__iBAQ_quantiles,group2__mean_iBAQ,group_2__iBAQ_quantiles,iBAQ_quantile_comp
0.1293037728529015,1.0171870614676146,0.42413088649890374,4,0.37267822778914916,0.7116676803160858,A0A024RBG1;Q9NZJ9,HYE mix A,HYE mix B,HYE mix A/HYE mix B,rots,median,none,none,1.5,0.05,1.093765735784047,up,1.093765735784047,Cohen's d,0.9313807779953102,0.4947920375888783,0.17118831251977862,1.6915732434708417,large,7697.55,Q6,6871.75,Q5,Q6/Q5
0.28281533039737344,4.428886474368587,0.026459595432238192,1,0.026459595432238192,0.07045605920182334,A0A075B6T6,HYE mix A,HYE mix B,HYE mix A/HYE mix B,rots,median,none,none,1.5,0.05,1.2165666242286004,up,1.2165666242286004,Cohen's d,3.1138434452771504,0.0631945360563445,0.5405095196638645,5.687177370890437,large,1156.375,Q2,949.2,Q2,Q2/Q2
0.05503602764462981,0.4582815024360172,0.6567675610126533,8,0.8261068299087715,1,A0A0B4J2D5;P0DPI2,HYE mix A,HYE mix B,HYE mix A/HYE mix B,rots,median,none,none,1.5,0.05,1.0388850464893074,up,1.0388850464893074,Cohen's d,-0.18037236856151592,0.11025699043422289,-0.6811303874346476,0.3203856503116157,negligible,25211.45,Q8,25119.3,Q8,Q8/Q8
0.043929607587850264,0.6365782261131425,0.6434763495875535,1,0.6434763495875535,1,A0A0B4J2F0,HYE mix A,HYE mix B,HYE mix A/HYE mix B,rots,median,none,none,1.5,0.05,1.0309180167043983,up,1.0309180167043983,Cohen's d,0.4851933456376186,0.06291473583437265,-1.2703073821467794,2.2406940734220164,small,21892.3,Q8,21234.1,Q7,Q8/Q7
0.2200298658302744,3.400731244483543,0.07059282181742244,1,0.07059282181742244,0.1744660458136251,A0A0U1RRE5,HYE mix A,HYE mix B,HYE mix A/HYE mix B,rots,median,none,none,1.5,0.05,1.1647576983525907,up,1.1647576983525907,Cohen's d,2.5234471186560237,0.0606108751721907,0.20470073948781398,4.842193497824233,large,8616.55,Q6,7392.3,Q5,Q6/Q5
-1.4797311183541804,-22.807015810214274,0.0016437392616781565,2,1.1307952418661621e-4,4.3322255410445506e-4,A0A385XJE6;P0CE49;P0CE50;P0CE51;P0CE52;P0CE53;P0CE54;P0CE55;P0CE56;P0CE57;P0CE58;P0CE59;P0CE60;P0CE61;P0CE62;P0CE63;P0CE64;P0CE65;P76071,HYE mix A,HYE mix B,HYE mix A/HYE mix B,rots,median,down,down,1.5,0.05,2.7889674916853995,down,-2.7889674916853995,Cohen's d,-7.0417010375345175,0.13205197113806746,-9.918873460641677,-4.164528614427358,large,6082.925,Q5,21429.525,Q7,Q5/Q7
0.022867696131685825,0.25306654487378827,0.7997867998139483,32,0.999929484533136,1,A0AVT1,HYE mix A,HYE mix B,HYE mix A/HYE mix B,rots,median,none,none,1.5,0.05,1.0159769674834573,up,1.0159769674834573,Cohen's d,-0.25999574329810266,0.2556025256169355,-0.5072020256866601,-0.01278946090954522,small,24292.125,Q8,24276.1,Q8,Q8/Q8
0.08101889280046187,0.6075105558825863,0.5754204106429229,25,0.7782165220098858,1,A0FGR8,HYE mix A,HYE mix B,HYE mix A/HYE mix B,rots,median,none,none,1.5,0.05,1.0577648154777444,up,1.0577648154777444,Cohen's d,-0.02995121326044116,0.4741888118402165,-0.3088522353837182,0.2489498088628359,negligible,14033.3,Q7,12848.25,Q6,Q7/Q6
-0.9378030423872186,-7.083559769701309,0.7109622438227952,2,0.7604082880059873,1,A0JNW5,HYE mix A,HYE mix B,HYE mix A/HYE mix B,rots,median,none,none,1.5,0.05,1.915608898490153,down,-1.915608898490153,Cohen's d,-1.5032167845765858,0.36978229384491407,-2.717655532768493,-0.28877803638467836,large,127.075,Q1,407.075,Q2,Q1/Q2
0.056345090354940994,0.44416426852054536,0.6737291902000058,24,0.9621183210291124,1,A0MZ66,HYE mix A,HYE mix B,HYE mix A/HYE mix B,rots,median,none,none,1.5,0.05,1.0398281306622674,up,1.0398281306622674,Cohen's d,-0.015992396695090456,0.33921680602423715,-0.30070686690462667,0.26872207351444577,negligible,11766.725,Q6,11711.75,Q6,Q6/Q6
