slr,t,score,n,p,p.fdr,PG.ProteinGroups,group1,group2,slr_ratio_meta,test,type,significant_changed,significant_changed_raw_p,significant_changed_fc,significant_changed_p_value,fold_change_absolute,fold_change_direction,fold_change,effect_size_method,d,d_pooled_SD,d_95CI_lower,d_95CI_upper,d_magnitute
-1.4797311183541804,-22.807015810214274,0.0016437392616781565,2,1.1307952418661621e-4,4.3322255410445506e-4,A0A385XJE6;P0CE49;P0CE50;P0CE51;P0CE52;P0CE53;P0CE54;P0CE55;P0CE56;P0CE57;P0CE58;P0CE59;P0CE60;P0CE61;P0CE62;P0CE63;P0CE64;P0CE65;P76071,HYE mix A,HYE mix B,HYE mix A/HYE mix B,rots,median,down,down,1.5,0.05,2.7889674916853995,down,-2.7889674916853995,Cohen's d,-7.0417010375345175,0.13205197113806746,-9.918873460641677,-4.164528614427358,large
-4.8118456562886935,-2.0735559730349986,0.022385321841153494,3,0.0014808732143240337,0.00488660838342903,O00287,HYE mix A,HYE mix B,HYE mix A/HYE mix B,rots,median,down,down,1.5,0.05,28.08729250252553,down,-28.08729250252553,Cohen's d,-0.9624084078482107,0.8779664302382563,-1.8567338546263479,-0.0680829610700735,large
0.8935890585739812,3.0170883420030954,0.02288220832107224,14,1.444721333456346e-9,1.0611433695633162e-8,O13297,HYE mix A,HYE mix B,HYE mix A/HYE mix B,rots,median,up,up,1.5,0.05,1.8577920942575792,up,1.8577920942575792,Cohen's d,1.1301161577018262,0.41508032968651315,0.7268091303787795,1.5334231850248727,large
1.1369241026693304,17.376541898396933,0.0024749731838590305,10,1.1021173977284864e-12,1.1958363796789068e-11,O13516,HYE mix A,HYE mix B,HYE mix A/HYE mix B,rots,median,up,up,1.5,0.05,2.1991166044139163,up,2.1991166044139163,Cohen's d,3.6123527635662023,0.21882193022138824,2.890257332783327,4.334448194349077,large
0.8477032485725692,6.368235135747586,0.006475509506677968,5,2.6890187561743235e-6,1.2734271964919095e-5,O13563,HYE mix A,HYE mix B,HYE mix A/HYE mix B,rots,median,up,up,1.5,0.05,1.7996336505215886,up,1.7996336505215886,Cohen's d,1.3021504328708802,0.4125046211336512,0.5973967842816674,2.006904081460093,large
0.9798665316478039,4.998944596124793,0.006260007404102597,7,5.2945318670710794e-8,3.133790483482612e-7,O13585,HYE mix A,HYE mix B,HYE mix A/HYE mix B,rots,median,up,up,1.5,0.05,1.9722829383167413,up,1.9722829383167413,Cohen's d,1.0907329332830784,0.43095331216883354,0.5164447958562008,1.665021070709956,large
1.178893456758869,23.517024078543486,0.0019264858040570765,9,3.322069304345688e-12,3.421221276865027e-11,O14467,HYE mix A,HYE mix B,HYE mix A/HYE mix B,rots,median,up,up,1.5,0.05,2.2640305990543603,up,2.2640305990543603,Cohen's d,4.769566121860923,0.17626861845132752,3.847943956631533,5.691188287090314,large
1.0696483234859775,11.817568607196524,0.0036071838780411536,4,4.229012692745273e-6,1.9518939873483666e-5,O43137,HYE mix A,HYE mix B,HYE mix A/HYE mix B,rots,median,up,up,1.5,0.05,2.0989216642136377,up,2.0989216642136377,Cohen's d,3.5300693985034632,0.1829125723614984,2.375310654886783,4.684828142120144,large
-0.6356612056086031,-1.7834013856785802,0.15838523166298046,4,0.0453219163692547,0.11612929430718057,O43570,HYE mix A,HYE mix B,HYE mix A/HYE mix B,rots,median,none,down,1.5,0.05,1.55364964437844,down,-1.55364964437844,Cohen's d,-1.4409855867900703,0.26034500833801116,-2.2513441824947047,-0.630626991085436,large
-1.1118130876010182,-4.551679700702585,0.07051387557310607,2,0.031106666199074658,0.08205644911068588,O43683,HYE mix A,HYE mix B,HYE mix A/HYE mix B,rots,median,none,down,1.5,0.05,2.161170789402039,down,-2.161170789402039,Cohen's d,-1.5763717925175327,0.33269825286177457,-2.8040717967199034,-0.348671788315162,large
0.8196621695215651,5.946510258888285,0.00823199284270082,4,3.310701460260998e-5,1.3706457318696287e-4,O60200,HYE mix A,HYE mix B,HYE mix A/HYE mix B,rots,median,up,up,1.5,0.05,1.7649926424897453,up,1.7649926424897453,Cohen's d,2.048079872283981,0.2694346350043962,1.1566072140012245,2.9395525305667376,large
1.020247037433056,24.55561364896958,0.0018213950088754594,3,9.940354452848611e-6,4.3791471677445956e-5,O74700,HYE mix A,HYE mix B,HYE mix A/HYE mix B,rots,median,up,up,1.5,0.05,2.0282662365679207,up,2.0282662365679207,Cohen's d,2.4012684373554958,0.2676349483385677,1.2906449413664571,3.5118919333445344,large
1.159400438327841,7.241243315914891,0.0049030015092979,3,7.188254073818252e-5,2.8348825603139897e-4,O94742,HYE mix A,HYE mix B,HYE mix A/HYE mix B,rots,median,up,up,1.5,0.05,2.233645814690442,up,2.233645814690442,Cohen's d,3.440694222532957,0.20891046134867414,2.107434928814553,4.773953516251361,large
0.9796317743010647,12.21290702658775,0.0037633012805300403,7,6.956904819157763e-9,4.6776031086705483e-8,P00044,HYE mix A,HYE mix B,HYE mix A/HYE mix B,rots,median,up,up,1.5,0.05,1.9719620317994984,up,1.9719620317994984,Cohen's d,4.155651756742683,0.14114431976345443,3.2033446182040892,5.1079588952812776,large
0.8234405603732428,3.9055276043152083,0.05428053717713843,2,0.021116090817014557,0.05712043623831188,P00045,HYE mix A,HYE mix B,HYE mix A/HYE mix B,rots,median,none,up,1.5,0.05,1.7696211830095092,up,1.7696211830095092,Cohen's d,1.9884828633533016,0.2592532900575567,0.6775908836298836,3.29937484307672,large
