PG.ProteinGroups,HYE mix A/HYE mix B|signal_log2_ratio,HYE mix A/HYE mix B|raw_p_value,HYE mix A/HYE mix B|adjusted_p_value
O43670,0.08550909686423619,0.8510208786695405,1
O43674,0.10336041536771291,0.3877040677626926,0.7323450714947112
O43676,0.032489045010356155,0.73740846360921,1
O43678,0.01697719686392532,0.8665646496529396,1
O43681,0.02562222651483397,0.9270116697554515,1
O43683,-1.1118130876010182,0.031106666199074658,0.08205644911068588
O43684,-0.04288993584804172,0.7645764419577835,1
O43707,0.034100593464791065,0.9883641363724811,1
O43708,-1.0518217936771486,0.08231607891847176,0.200712075181577
O43709,-0.023583984091140507,0.908421722564225,1
O43715,-0.9479769238443077,0.8033485330058281,1
O43719,-0.11331936214939636,0.27925418091072285,0.5697103831469519
O43739;Q99418,-0.2767248622908234,0.19847184981512023,0.43104663435864304
O43741,0.5564163327683159,0.12851362881445494,0.298502110564484
O43747,-0.029616406520728795,0.9871876047347464,1
O43752,-0.08656949235008031,0.5573722858771811,0.943400946332497
O43760,-0.08982124390963218,0.6385096528530834,1
O43765,0.04541299467321025,0.951438749296715,1
O43768,-0.014314284779657294,0.9945466750168743,1
O43772,0.008717894945531282,0.9999999771381034,1
O43776,-0.003607183458868426,0.9999999999993053,1
O43795,0.07022052400727144,0.8900765959463387,1
O43805,-0.21165715212611594,0.2588284333434785,0.5366089486493175
O43808,7.347322675311614e-4,0.9999131291566712,1
O43809,0.005925405148979426,0.999928120011764,1
O43813,-0.019621553961052453,0.9805430618800884,1
O43815,-0.12054034264269373,0.8525353055691586,1
O43818,-0.0012901538019487527,0.999999748159706,1
O43819,0.015757323254814472,0.9806788636347282,1
O43823,-0.12793267525621893,0.20815927621293331,0.4484555697733361
O43824,-0.12213315126813318,0.3527815503553956,0.6825998587925983
O43837,0.01573840212862508,0.999656502401435,1
O43847,-0.019720918649543662,0.999954935952372,1
O43852,0.04676313938469644,0.9784494049756914,1
O43854,0.03143195459710138,0.9968221167059836,1
O43865,-0.13678291023747188,0.11640984766575405,0.2735261824613984
O43896,-0.2831024407956337,0.5203237822835121,0.9015976921822004
O43913,0.19355101890443308,0.3667465010463159,0.7024016960071419
O43920,0.04966815928040217,0.589767593641846,0.9808512452339027
O43924,-0.012430213760589049,0.9864821339298007,1
O43929,-0.12328523985493381,0.47001252408672,0.8407926223913591
O60200,0.8196621695215651,3.310701460260998e-5,1.3706457318696287e-4
O60216,0.12668896695553383,0.0592489989402007,0.14865583531150192
O60218,-0.5669838611798025,0.976543999644282,1
O60220,-0.046326603018078595,0.6790724390457779,1
O60231,-0.05818543280568815,0.872630384667684,1
O60232,-0.03072579988482673,0.9999985003449228,1
O60244,-0.5218049295251439,0.0051092096336952265,0.015522912961263725
O60256,0.0036179609683329203,0.9999999834583897,1
O60264,0.07693644923403734,0.6119482695109675,1
O60271,0.07629665842475415,0.3052539959371336,0.6105481523423358
O60287,1.274576852801166e-4,1,1
O60293,0.12230794848592513,0.8031862924385613,1
O60294,-0.09083651805033385,0.35983327544091315,0.6927468386717687
O60306,0.05301749127953985,0.990791838124129,1
O60313,-0.03971079510025607,0.9927585904733698,1
O60318,-0.04956437826868737,0.8641657361615999,1
O60333,0.029193808378240458,0.976127780214275,1
O60337,0.04472756254198513,0.818114016571397,1
O60341,0.012049454701648317,0.9999932319010154,1
O60343,0.06605304969512175,0.8220163262634399,1
O60427,0.1258284308356878,0.38325446140307107,0.7261129281985091
O60437,-0.006656536275854801,1,1
O60443,0.06481882081339709,0.7070813324861871,1
O60447,-1.1352310781225046,0.36000611173163144,0.6929552618819976
O60476,0.0650452607082817,0.957048939533085,1
O60488,-0.0025100809905245643,0.999999999997585,1
O60493,-6.353393653906276e-4,0.9999999775218413,1
O60499,-0.06713182155845042,0.9166886346738756,1
O60502,-0.006675590953781365,0.9999999083675313,1
O60504,0.037713303522538565,0.9233306984353631,1
O60506,4.1769965714195684e-4,1,1
O60508,-0.028544348163185893,0.993667217181545,1
O60518,0.08343740486865546,0.708804197978041,1
O60524,0.08277709464900287,0.5855306091316721,0.9753692900639511
O60547,0.10779848787625995,0.2608553707523008,0.5402066835596433
O60563,0.0660902437701153,0.7050238794277626,1
O60566,-0.028433399303870524,0.9999909495994405,1
O60568,-0.052974864046119174,0.916668695081233,1
O60573,0.025691124563505197,0.9763997742038484,1
O60583,-0.1655949314564308,0.6524313352834028,1
O60610,0.020984613267887864,0.9999841658181612,1
O60613,-0.17132853344989302,0.3772920471814219,0.7170954584314273
O60645,-0.19199938093012014,0.21833326350511886,0.4673716837569182
O60664,0.012649317508214367,0.9999426450556321,1
O60671,0.015690266118195968,0.9593514554755233,1
O60678,-0.14839541537457357,0.2097942853906042,0.4514342242884648
O60684,0.00345929944562437,0.9999842495930842,1
O60701,-0.030302585817295592,0.9999882918912364,1
O60716,0.029193103033301457,0.9991509738126774,1
O60725,-0.04530988595301737,0.6644937975082188,1
O60749,-0.012178703191668964,0.9994576078444957,1
O60762,-0.03680189509824117,0.9967819178969974,1
O60763,-0.028365344499119767,0.9990690590159772,1
O60783,-0.14337774059602265,0.22301541694652116,0.4754974049777704
O60784,-0.0808532928739133,0.8479419205092824,1
O60814;P57053;P58876;P62807;Q5QNW6;Q93079;Q99877;Q99879;Q99880,0.035558763265239,0.8306608046559851,1
O60825,0.4299833367286282,0.09059275634791,0.21885431525651108
O60826,0.13203028139399264,0.15570744923386148,0.35102870540516123
O60828,0.018118070434125253,0.9821599351690117,1
O60830,0.12468429498336862,0.40848616520065556,0.7623417458727365
O60832,-0.06106965159283865,0.4906260151273309,0.8673653654582187
O60841,0.08932162642582434,0.2863087455622542,0.5807900091925425
O60869,0.0574486430063823,0.5150814102919512,0.8951155649948063
O60870,-0.08980561299614051,0.6991839680930747,1
O60879,0.07919233624827476,0.8161693624796742,1
O60884,-0.07241025894486064,0.9790597478767544,1
O60885,0.013383262756450583,0.9999999997583625,1
O60888,0.03190347946307445,0.7928172101348683,1
O60921,-0.085241211767672,0.3992622816105623,0.7492975767686156
O60925,-0.010164139794696728,0.9761890704892016,1
O60927,0.8488095495835613,0.9624875282406229,1
O60934,-0.09159696296985873,0.7694621521547221,1
O60936,-0.12293447003340086,0.29490998655339845,0.5943059278318346
O60942,-0.06195805590393099,0.6857952071949829,1
O74700,1.020247037433056,9.940354452848611e-6,4.3791471677445956e-5
O75027,0.01717056836846999,0.9994823527068593,1
O75044,0.0497603078280468,0.9516993078479181,1
O75054,0.002918575698624042,0.9999999993240072,1
O75063,0.5619873479385431,0.2522437283260238,0.5248841281106382
O75083,-0.017193239281636376,0.999727857903951,1
O75110,-0.17486985589787182,0.584067151397696,0.9733847805014252
O75113,0.6724807195282483,0.08469199315395701,0.20594375221733802
O75116,0.05550748906627212,0.9771633034834106,1
O75122,0.11111311034637081,0.1733872311226002,0.3857003269437444
O75127,-0.039057859359671335,0.9999977523980286,1
O75128,0.022842854943952426,0.9998628842945777,1
O75131,-0.030579182790767594,0.9866594296926912,1
O75143,-0.42230977739022874,0.9739019621085387,1
O75146,-0.21865947080875744,0.5806189245577899,0.9694447921938141
O75147,0.2148764397806749,0.28677786804125943,0.5813020970817444
O75150,-0.06332700910789218,0.999976661248206,1
O75152,0.10565095886026404,0.45530312244762544,0.8237831406146465
O75153,0.05344679669352135,0.9765717342236122,1
O75165,-0.011247417470651808,0.9999999999999837,1
O75167,-0.12022632209126946,0.9364049186783722,1
O75175,0.055330190075581966,0.8629151299289783,1
O75179,-0.06771067977235758,0.9780020315300832,1
O75190,-0.16137529521692257,0.969330060561789,1
O75208,-0.13601093410111478,0.26725584585729184,0.5505706434813974
O75223,0.03564174074967832,0.9705889307197397,1
O75251,-0.18187636508803673,0.345401211212518,0.6728082043059594
O75306,0.0355683498534185,0.9314974705326391,1
O75312,-0.04104922627592951,0.9523616772525333,1
O75319,-1.5811974832878801,0.06690261104053828,0.16595744777531585
O75323,-0.09641815806573452,0.338664166554714,0.6629341793685946
O75330,0.05483134210453697,0.9987355860113871,1
O75334,-0.10263103019636403,0.3013830297010332,0.6045123909760349
O75340,-0.02499810770318953,0.9866460608416789,1
O75347,0.04716396386671732,0.8780211310471258,1
O75348,-0.01180113686081361,0.9309202069569442,1
O75351,-0.04475044942343617,0.9988460852741297,1
O75352,-0.16725176619529328,0.42814993921916994,0.7882101557318429
O75367,0.056350159064937455,0.8140324400501212,1
O75368,0.005121933856269998,0.9999026394327252,1
O75369,-0.041856528607123196,0.9999974232680826,1
O75376,5.028437951541114e-4,1,1
O75379,0.19963194010674032,0.5361557505076465,0.92100005741917
O75380,0.06363732084677069,0.8687993866560698,1
O75381,0.012060800806946315,0.9980015662958951,1
O75382,0.11408047833997789,0.5340240351134069,0.918809030110946
O75390,0.004018726766145094,0.999999999431071,1
O75391,0.08370237675540945,0.5404685699169005,0.9253344695703383
O75394,-0.20264410382411552,0.41339867108297096,0.7684360192952298
O75396,-0.02377289464823159,0.9999978780560175,1
O75400,0.08954962324273354,0.4055837740243829,0.7582438116821695
O75410,-0.03060407942177444,0.9658630229464257,1
O75414,-0.2132851402337618,0.9426804351048008,1
O75419,0.1163092144824,0.8150337481643525,1
O75431,0.2621547766311742,0.46195318642756245,0.8307725228011015
O75436,-0.026170611556210335,0.9950021608540958,1
O75438,-0.12915963228365018,0.34432445959602265,0.6713200901026378
O75439,0.03507246075574041,0.9999913388258008,1
O75446,-0.1469745115814778,0.5294076096344751,0.9127688076779487
O75448,0.06018247754985272,0.6181948532561319,1
O75449,-0.2377710866675339,0.24375717279505474,0.5117899082887365
O75475,0.04805499590828345,0.9849310059800755,1
O75477,-0.0722365029773345,0.5504140969498426,0.935608058667632
O75489,0.011829284260383429,0.9983847240225769,1
O75494,0.059819606116849576,0.5236724844954344,0.905421868068027
O75496,-0.015080487116193919,0.9692542366307626,1
O75506,-0.1299266545046686,0.7943114601607594,1
O75521,-0.0038750100247394973,0.9999999011199782,1
