slr,t,score,n,p,p.fdr,PG.ProteinGroups,group1,group2,slr_ratio_meta,test,type,significant_changed,significant_changed_raw_p,significant_changed_fc,significant_changed_p_value,fold_change_absolute,fold_change_direction,fold_change,effect_size_method,d,d_pooled_SD,d_95CI_lower,d_95CI_upper,d_magnitute
0.6169075691736592,1.7479362944782981,0.06122314970059883,3,0.010785859890087679,0.05252626076554894,A0A075B6K5,cancer,control,cancer/control,rots,median,none,up,1.5,0.05,1.533584402584435,up,1.533584402584435,Cohen's d,0.38523472860709024,1.009753588258818,0.020350069083253652,0.7501193881309268,small
0.685022645903754,2.3148671603616995,0.03383391017964077,4,0.001102684787238671,0.0076548962133969325,A0A075B6Q5,cancer,control,cancer/control,rots,median,up,up,1.5,0.05,1.6077272176928838,up,1.6077272176928838,Cohen's d,0.5609008029320246,1.0123369272625675,0.242529957402436,0.8792716484616132,medium
0.9713311662418145,1.579987790769159,0.0644585029940119,2,0.02723877568652895,0.11122733834376035,A0A0B4J1U7,cancer,control,cancer/control,rots,median,none,up,1.5,0.05,1.9606488399876207,up,1.9606488399876207,Cohen's d,0.4690543144906899,1.382510893192942,0.017807516539873447,0.9203011124415064,small
0.7805753550564416,2.332860879765094,0.018189293413173657,3,9.80515314795239e-4,0.0069447647211764146,A0A0B4J1V0,cancer,control,cancer/control,rots,median,up,up,1.5,0.05,1.717815811085253,up,1.717815811085253,Cohen's d,0.3599443370524699,2.9720211136451407,-0.004518120273491799,0.7244067943784316,small
0.7997735133050095,2.585571408649014,0.015322610778443102,2,0.003205099595181024,0.01903538612265444,A0A0B4J1X8,cancer,control,cancer/control,rots,median,up,up,1.5,0.05,1.7408278149933998,up,1.7408278149933998,Cohen's d,0.5488865606706581,0.9789972607439654,0.09541469532101055,1.0023584260203058,medium
0.9198281771795589,2.503404153947328,0.009459425149700551,1,0.009459425149700551,0.04750104150023283,A0A0B4J1Y8,cancer,control,cancer/control,rots,median,up,up,1.5,0.05,1.891889958769986,up,1.891889958769986,Cohen's d,0.7473059442172042,0.7029630955354651,0.08516864600158924,1.4094432424328192,medium
0.8603729109662352,2.5714377519700427,0.034238766467065807,2,0.010644226501620805,0.052017764243934776,A0A0C4DH31,cancer,control,cancer/control,rots,median,none,up,1.5,0.05,1.8155075263417715,up,1.8155075263417715,Cohen's d,0.08321857529981447,2.1223872760985603,-0.3621410039176678,0.5285781545172967,negligible
-0.9299609383513912,-3.2073291772452768,0.0036216766467065398,1,0.0036216766467065385,0.021003720857040824,A5A3E0,cancer,control,cancer/control,rots,median,down,down,1.5,0.05,1.9052244105401048,down,-1.9052244105401048,Cohen's d,-0.9928229571955323,0.6402880554629755,-1.6712856603585025,-0.31436025403256207,large
0.771219062366284,2.5882312226778645,0.013710910179640767,1,0.013710910179640773,0.06380671074720728,A6NP61,cancer,control,cancer/control,rots,median,none,up,1.5,0.05,1.7067113277992283,up,1.7067113277992283,Cohen's d,0.5855595423474983,0.8696563256637323,-0.06818500713716391,1.2393040918321605,medium
-0.5849868667845305,-2.0446871079552835,0.05076192814371261,27,8.057092191705093e-12,2.5987221199861123e-10,O00139,cancer,control,cancer/control,rots,median,down,down,1.5,0.05,1.5000253341161307,down,-1.5000253341161307,Cohen's d,-0.3790859515149958,0.8021129808053179,-0.4995673910139398,-0.2586045120160518,small
-0.9502152883215831,-2.6945606557822637,0.0066620299401196625,16,3.784418634031443e-15,1.9351301624992488e-13,O00151,cancer,control,cancer/control,rots,median,down,down,1.5,0.05,1.9321609659426304,down,-1.9321609659426304,Cohen's d,-0.598041154644404,0.7328385087622212,-0.7567166801477838,-0.43936562914102417,medium
-0.7272914822383136,-2.2877778814286653,0.019663227544910233,14,4.721929109557457e-10,1.1185903252188936e-8,O00161,cancer,control,cancer/control,rots,median,down,down,1.5,0.05,1.6555280814145257,down,-1.6555280814145257,Cohen's d,-0.47739548638632495,0.663331868289683,-0.6457507787005262,-0.3090401940721237,small
-0.8282075856711407,-2.6422411156208914,0.00923829940119758,9,8.220715957013973e-9,1.5884544704036678e-7,O00194,cancer,control,cancer/control,rots,median,down,down,1.5,0.05,1.7754781251319338,down,-1.7754781251319338,Cohen's d,-0.5391854813506621,0.6864627509146694,-0.7502176689813513,-0.3281532937199729,medium
-0.6973670009077767,-2.138253565811038,0.03943356287425148,2,0.013135370606123785,0.06160694513588035,O00483,cancer,control,cancer/control,rots,median,none,down,1.5,0.05,1.6215426844892453,down,-1.6215426844892453,Cohen's d,-0.5388381132731301,0.6389425026163633,-0.9920113465539626,-0.08566487999229766,medium
-0.7214930297953881,-2.366960713047151,0.03636380239520953,4,0.0013168553388112185,0.008934586465429514,O00501,cancer,control,cancer/control,rots,median,down,down,1.5,0.05,1.6488875681183883,down,-1.6488875681183883,Cohen's d,-0.5405716182133719,0.5882100317550436,-0.8585134732066708,-0.22262976322007283,medium
0.7263338957873802,2.34965321376446,0.026537473053892202,7,1.627698134106934e-5,1.7727112406000972e-4,O00602,cancer,control,cancer/control,rots,median,up,up,1.5,0.05,1.654429591985016,up,1.654429591985016,Cohen's d,0.6261963691580255,1.000663711750872,0.3852142646804587,0.8671784736355922,medium
1.056357720085519,2.8008954845809098,0.004086000000000034,1,0.004086000000000035,0.023152159459459656,O14558,cancer,control,cancer/control,rots,median,up,up,1.5,0.05,2.0796744672603,up,2.0796744672603,Cohen's d,0.9227059064162259,0.6745442578528911,0.24933286101454566,1.5960789518179062,large
