slr,t,score,n,p,p.fdr,PG.ProteinGroups,group1,group2,slr_ratio_meta,test,type,significant_changed,significant_changed_raw_p,significant_changed_fc,significant_changed_p_value,fold_change_absolute,fold_change_direction,fold_change,effect_size_method,d,d_pooled_SD,d_95CI_lower,d_95CI_upper,d_magnitute,group1__mean_iBAQ,group_1__iBAQ_quantiles,group2__mean_iBAQ,group_2__iBAQ_quantiles,iBAQ_quantile_comp
0.34063870585847106,0.6563656660877187,0.3918126467065868,1,0.3918126467065868,0.8049340654780589,A0A075B6H7,cancer,control,cancer/control,rots,median,none,none,1.5,0.05,1.2663170902026473,up,1.2663170902026473,Cohen's d,0.07608091874981465,2.657449805957513,-0.5643202769849012,0.7164821144845304,negligible,156.375,Q9,147.015,Q9,Q9/Q9
0.4289855606006863,2.0596597507705012,0.08646925748502998,1,0.08646925748502997,0.2771371199294774,A0A075B6H9,cancer,control,cancer/control,rots,median,none,none,1.5,0.05,1.3462865947264004,up,1.3462865947264004,Cohen's d,0.8379972346496869,0.3963831540853629,0.17032149596593893,1.5056729733334349,large,3.995,Q4,3.1750000000000003,Q3,Q4/Q3
0.1808618404209406,0.4763825549847178,0.5789675928143713,1,0.5789675928143713,1,A0A075B6I0,cancer,control,cancer/control,rots,median,none,none,1.5,0.05,1.133560852212979,up,1.133560852212979,Cohen's d,0.1834552757505194,1.0829237856021994,-0.4580595453150185,0.8249700968160574,negligible,36.305,Q8,28.24,Q7,Q8/Q7
-0.027351783669734966,-0.080036741067529,0.92847325748503,1,0.92847325748503,1,A0A075B6J1,cancer,control,cancer/control,rots,median,none,none,1.5,0.05,1.0191396711570193,down,-1.0191396711570193,Cohen's d,-0.013917011995017728,1.0731583949310424,-0.6540944053220104,0.6262603813319749,negligible,0.125,Q1,0.01,Q1,Q1/Q1
0.35917504053405525,1.1000552162538104,0.22604435928143718,3,0.13018820825247632,0.3785569744817151,A0A075B6J6,cancer,control,cancer/control,rots,median,none,none,1.5,0.05,1.282692220897055,up,1.282692220897055,Cohen's d,0.3255122137016726,1.1128206009400399,-0.03842080568699341,0.6894452330903387,small,1.3250000000000002,Q2,0.02,Q1,Q2/Q1
0.17599070519563936,0.3706132773428006,0.6363281796407185,3,0.699424849441847,1,A0A075B6J9,cancer,control,cancer/control,rots,median,none,none,1.5,0.05,1.1297399360079796,up,1.1297399360079796,Cohen's d,-0.13493261224021705,1.3230418049157153,-0.49689038520025386,0.2270251607198198,negligible,42.175000000000004,Q8,77.855,Q9,Q8/Q9
0.30045547567902986,1.0210727659479197,0.2961528383233534,3,0.21117045095199452,0.5324909675021575,A0A075B6K0,cancer,control,cancer/control,rots,median,none,none,1.5,0.05,1.2315331613822604,up,1.2315331613822604,Cohen's d,-0.06656926142364418,1.5042102971111246,-0.4282159775556538,0.2950774547083655,negligible,32.805,Q8,33.32,Q8,Q8/Q8
0.5983893460777724,1.1868262188358145,0.13491558083832333,1,0.13491558083832333,0.38879795907566306,A0A075B6K4,cancer,control,cancer/control,rots,median,none,none,1.5,0.05,1.5140253341187881,up,1.5140253341187881,Cohen's d,0.14725278041857745,1.5376627296041214,-0.4937838416581992,0.7882894024953542,negligible,20.19,Q7,15.95,Q6,Q7/Q6
0.6169075691736592,1.7479362944782981,0.06122314970059883,3,0.010785859890087679,0.05252626076554894,A0A075B6K5,cancer,control,cancer/control,rots,median,none,up,1.5,0.05,1.533584402584435,up,1.533584402584435,Cohen's d,0.38523472860709024,1.009753588258818,0.020350069083253652,0.7501193881309268,small,125.33,Q9,102.415,Q9,Q9/Q9
0.3541863937265283,1.2978364798647948,0.2656981976047904,2,0.21298702500063119,0.5335099286654473,A0A075B6P5;P01615,cancer,control,cancer/control,rots,median,none,none,1.5,0.05,1.2782645021177397,up,1.2782645021177397,Cohen's d,0.3694616544957197,0.6487887512446582,-0.07948710324866032,0.8184104122400997,small,116.955,Q9,96.065,Q9,Q9/Q9
0.685022645903754,2.3148671603616995,0.03383391017964077,4,0.001102684787238671,0.0076548962133969325,A0A075B6Q5,cancer,control,cancer/control,rots,median,up,up,1.5,0.05,1.6077272176928838,up,1.6077272176928838,Cohen's d,0.5609008029320246,1.0123369272625675,0.242529957402436,0.8792716484616132,medium,69.64,Q9,34.815,Q8,Q9/Q8
0.35324190860878507,1.0585945451852683,0.2525748023952096,1,0.2525748023952096,0.6013890666911492,A0A075B6R2,cancer,control,cancer/control,rots,median,none,none,1.5,0.05,1.2774279381451974,up,1.2774279381451974,Cohen's d,0.35700971652489616,1.4303667828348168,-0.28823936491414265,1.002258797963935,small,7.720000000000001,Q5,4.275,Q3,Q5/Q3
0.26828735832256734,0.6265115305751942,0.4457933053892216,3,0.4190085162725461,0.8422352390847487,A0A075B6R9;A0A0C4DH68,cancer,control,cancer/control,rots,median,none,none,1.5,0.05,1.204377247142639,up,1.204377247142639,Cohen's d,0.20606536454973115,1.5327180296783773,-0.15643947979116626,0.5685702088906286,small,86.50999999999999,Q9,55.82,Q8,Q9/Q8
0.09247076527393182,0.3031289241320462,0.7476504311377246,5,0.8939908041994522,1,A0A075B6S2,cancer,control,cancer/control,rots,median,none,none,1.5,0.05,1.0661945888646227,up,1.0661945888646227,Cohen's d,-0.04057834796693636,1.1016761386991578,-0.31949243356235346,0.23833573762848073,negligible,254.775,Q10,281.43,Q10,Q10/Q10
