PG.ProteinGroups,XTT001_EVOSE...0_S3-H7_1_1609,XTT001_EVOSE...7_S3-A2_1_1616,XTT001_EVOSE...2_S3-D2_1_1621,XTT001_EVOSE...9_S3-F2_1_1632,XTT001_EVOSE...4_S3-C2_1_1637,XTT001_EVOSE...1_S3-H2_1_1644,XTT001_EVOSE...6_S3-B7_1_1649,XTT001_EVOSE...3_S3-F7_1_1656,XTT001_EVOSE...8_S3-G2_1_1661,XTT001_EVOSE...5_S3-D7_1_1668,XTT001_EVOSE...0_S3-A7_1_1673,XTT001_EVOSE...7_S3-B2_1_1680,XTT001_EVOSE...2_S3-C7_1_1685,XTT001_EVOSE...9_S3-E2_1_1692,XTT001_EVOSE...4_S3-E7_1_1697,XTT001_EVOSE...5_S3-G7_1_1604,XTT001_EVOSE...7_S3-A2_1_1759,XTT001_EVOSE...2_S3-D2_1_1764,XTT001_EVOSE...4_S3-C2_1_1776,XTT001_EVOSE...7_S3-B2_1_1819,XTT001_EVOSE...9_S3-F2_1_1771,XTT001_EVOSE...1_S3-H2_1_1783,XTT001_EVOSE...6_S3-B7_1_1788,XTT001_EVOSE...3_S3-F7_1_1795,XTT001_EVOSE...8_S3-G2_1_1800,XTT001_EVOSE...5_S3-D7_1_1807,XTT001_EVOSE...0_S3-A7_1_1812,XTT001_EVOSE...2_S3-C7_1_1824,XTT001_EVOSE...9_S3-E2_1_1831,XTT001_EVOSE...4_S3-E7_1_1836,XTT001_EVOSE...5_S3-G7_1_1747,XTT001_EVOSE...0_S3-H7_1_1752,XTT001_EVOSE...9_S3-D2_1_1863,XTT001_EVOSE...1_S3-A2_1_1868,XTT001_EVOSE...6_S3-C2_1_1875,XTT001_EVOSE...3_S3-G2_1_1880,XTT001_EVOSE...8_S3-E2_1_1890,XTT001_EVOSE...0_S3-F2_1_1895,XTT001_EVOSE...7_S3-H2_1_1902,XTT001_EVOSE...4_S3-B2_1_1907
A0A075B6H7,515.1533312583941,340.93580480826705,287.0362489506905,451.4026718484733,616.1102019058934,135.90297796969926,192.04845827611052,254.58478214014278,423.6301590790362,460.85117347593695,3103.4336183010264,251.9173409946007,241.96560624869332,166.2213641583246,344.85906290462987,331.1099146841799,344.39020263857026,492.2631915421435,16637.419109480543,296.70125288317126,1171.1206987696573,133.81135361566606,537.831144090304,118.03685231562191,194.5404633830704,76.83465262095753,476.5213156150527,115.47986957579673,171.99451833247193,3217.770170763142,569.6980989028492,1033.1008002852839,108.12848049618185,214.52604285668818,10858.80148155093,415.3730864417368,98.12966817427233,909.0874787186116,83.41543737670634,182.1257283978813
A0A075B6H9,19.721897557310033,76.80037991157765,48.559075363722386,58.70997763714295,47.25471019564197,37.53090843508768,12.52898847762881,47.13887206969969,59.86520004966976,70.55085578990281,42.16358142872178,31.69282318203104,63.76998583265005,13.92104024183777,50.87134770418018,77.23636881840076,68.66530536184845,38.80087773672958,32.87120119777327,56.754686024249686,56.93838489878703,28.721403923573362,56.48449841559175,10.93397894772186,43.70727746361089,29.602086750694415,45.90651452148468,33.502602874777985,23.37888566736277,27.58579747567797,30.146706577080757,34.69992973102695,26.057954009527162,49.22205326166235,29.501796805094695,32.92317099180794,17.56862839623968,24.548749392043078,53.12077879562006,20.893080216779754
A0A075B6I0,53.623066710725766,150.82089920274097,131.52266964992344,214.1653851571822,83.9746467982816,53.1671060284329,46.52188468774734,83.13826059100037,132.29530826914237,93.66389137301115,294.86450503118266,931.648012305275,76.29788305977904,92.43233473912912,16.083244479102976,164.72279039640333,153.2909219026946,40.45102964238564,388.48726887199916,70.74944206365865,93.49085237905572,200.30723791377127,100.58141751581537,127.60224255055425,114.12496037600368,310.3488174356393,160.62505789146326,84.60645923610055,352.9704778356603,59.989678362249215,88.14853712569011,342.37702019441065,25.365658819558874,45.86644937506392,260.1369421266673,54.941979094038174,39.092242949902044,38.658508682152906,102.89124492691266,14.062224602772591
A0A075B6J1,0.974213407517277,1.0326605729511713,11.751337972142128,2.1132740637221277,1.0692246684120352,2.3259473210824475,5.451396847854553,2.184187604121106,9.770275851131245,7.563865605894902,1.605184496438495,9.333533072278287,9.207516542751963,1.75658019270391,1.439782567212193,1.9181777116678411,4.143854798531755,1.2015762918007455,12.629249629899652,23.896895399001433,8.819978675858858,2.5617818561153785,3.274165152210069,1.0173930565761589,1.0923433844128778,1.8093116141182253,1.5298720076665628,5.801306085208296,21.202841562034337,3.7206216872326356,9.11915850113358,5.421541067391078,1.9286430860125896,1.1225114815770365,3.902368243623963,0.9650421742990856,8.822903003773186,5.556803740395627,2.0087273474596024,20.735403940470988
A0A075B6J6,2.9372532106532865,6.856023870169367,6.645477559381037,19.661953448285544,9.236947204194095,7.6057481831392275,2.960529925187086,8.430712216108425,9.193445262845405,17.038410592666942,14.587284216055256,15.607603726910305,8.1238436451928,5.124189530350858,5.883429431401611,10.4887758456138,42.77810538015447,2.520384288158542,3.007263609921921,4.355803766907352,4.768012735658487,2.5394953835754883,7.99860965509545,5.548759272554876,4.039109362186639,4.053904777623588,21.40440241072391,4.915645570400158,4.578881000567088,9.036870242010584,8.814248682862772,16.175475950341323,6.657329426093762,7.72386183539568,5.77911902580508,2.6055363402533653,4.425047737568918,11.149829264400088,5.4518637146913225,4.580246247630024
A0A075B6J9,19.66166370613661,86.2780170584786,46.862495061844115,50.60016185408455,82.61668340147195,51.90942669566152,59.49871883635776,106.53496559970256,84.82396858835996,54.496023172113006,60.91333791439604,43.46641204205802,60.91017344132407,65.43766984679367,19.448803447596738,105.80904839776197,48.213176719676234,30.62327830199407,100.7621996119611,43.75777795695602,68.94438140646339,37.87453039104174,209.83453134149664,57.079542990633904,55.35453606351638,84.92874673322204,124.38564659141258,77.32089453214466,23.182784711284995,75.79036323065708,32.412534667237516,251.67667069064174,30.673532505029087,24.049250688543108,39.77439073590291,25.91986307895407,19.599226540192493,95.78821457552074,40.848414845778784,31.263903175201307
A0A075B6K0,52.67220142663334,44.152906050133936,51.22759589186643,34.317666436603794,81.09713114212448,43.34218106779646,27.145795400281905,78.60685519669035,108.73664418015612,44.06421038217978,91.29197352127511,85.85151110416264,36.96128514107883,40.26312372610443,37.72010223275342,45.37254863427408,36.95089908849449,43.348724953041454,41.26253459333118,55.42029880585156,283.3114997353526,11.60767475746227,77.07482043398709,34.775064050242776,45.441210914608305,158.50963323870198,67.64733704487018,60.87204483001031,25.414444771403534,40.88062738451327,57.27553496030765,59.21119300116972,20.30610326534327,40.60407546260045,28.538064141382566,75.57405050760549,33.55981676662253,38.126268811612015,19.501401203464226,21.06986416227606
A0A075B6K4,46.77396486319485,971.0985860078623,18.031850696517402,25.91337446288204,33.905192792425346,15.143218956944015,91.06713876284041,71.87204608581166,173.11051945345872,46.101870931622976,168.04436717696308,265.6026800646993,43.18333609386627,45.349366047750394,103.05575168505447,53.67931315843582,182.4571183095965,436.7493012822866,94.31607788640682,27.66030150979272,750.7313445920288,18.666175572250566,82.20109381357882,17.164298834781487,48.0771576645005,8.791367258143552,35.62470921725416,73.66073717931086,40.05299011759262,161.76663746161725,31.795137473429712,89.38728525567467,11.890786454090778,85.77064836751721,51.858615856874565,407.70837783265245,8.760260067168177,28.871816914339618,11.839961798288746,327.6959048267921
A0A075B6K5,196.99837809005092,76.0881453976285,45.83494987754269,114.27496314533916,219.44770210546207,80.10755672835373,110.08502118668918,324.8439610867469,159.28203714042138,445.59658308672164,301.8079986836016,527.7309845774474,145.44801042270117,347.7019199352232,177.58214214986626,43.00543631211897,76.11267125692189,48.441193189556635,145.20502604397834,226.17937134982057,93.35975379247004,128.98079003848815,179.57072385500288,124.96109984935585,50.21919114247817,105.37785468319,123.72032931686921,120.23791162611975,134.59552027317204,104.419073460135,86.82201556460359,61.58493968623849,95.9924174466951,73.65062356994524,213.17332763611725,393.61004599769507,92.03716707300724,67.42621848513647,76.09660166763062,108.00821664016378
A0A075B6P5;P01615,112.36368879661467,380.00045790522915,132.2438854347226,173.0170811020748,299.4284900154666,108.78986339372801,49.28174536687605,281.42267179618693,94.0729846390835,251.4745536405397,640.9624337414094,322.85943421446837,196.9475211074451,221.25554790706894,124.5350164343937,325.9039725501731,169.563265515251,237.78233002144205,197.3414805763917,252.30076078961554,175.54448137584907,119.24804386668464,511.9408152002631,102.87311517305135,192.62805053386924,126.1472633156591,161.4954546011477,147.24561334301447,181.58604732388937,345.4381350948221,245.255242163952,224.92582179892858,90.23057383669169,225.20561012870147,250.25006602096215,169.89304716287054,63.57695803701323,92.89814952206797,51.04493480088625,74.3925537148786
