R.Condition,cumulative frequency,CV_cut,level,cumulative frequency proportion
control,4363,0.34,peptide level,0.10450299401197605
cancer,1670,0.34,protein level,0.39828285237300265
control,2042,0.34,protein level,0.48700214643453377
cancer,2560,0.35,peptide level,0.06131736526946108
control,5032,0.35,peptide level,0.12052694610778443
cancer,1766,0.35,protein level,0.421178154066301
control,2135,0.35,protein level,0.5091819699499165
cancer,2968,0.36,peptide level,0.07108982035928144
control,5728,0.36,peptide level,0.13719760479041918
cancer,1870,0.36,protein level,0.4459813975673742
control,2240,0.36,protein level,0.5342237061769616
cancer,3458,0.37,peptide level,0.08282634730538922
control,6498,0.37,peptide level,0.15564071856287426
cancer,1953,0.37,protein level,0.4657762938230384
control,2332,0.37,protein level,0.5561650369663725
cancer,3950,0.38,peptide level,0.09461077844311377
control,7251,0.38,peptide level,0.17367664670658683
cancer,2054,0.38,protein level,0.489864059146196
control,2435,0.38,protein level,0.5807297877414739
cancer,4487,0.39,peptide level,0.10747305389221556
control,8038,0.39,peptide level,0.19252694610778442
cancer,2150,0.39,protein level,0.5127593608394944
control,2538,0.39,protein level,0.6052945385165752
cancer,5116,0.4,peptide level,0.12253892215568862
control,8932,0.4,peptide level,0.21394011976047905
cancer,2231,0.4,protein level,0.5320772716432148
control,2622,0.4,protein level,0.6253279274982113
cancer,5717,0.41,peptide level,0.13693413173652694
control,9769,0.41,peptide level,0.2339880239520958
cancer,2298,0.41,protein level,0.5480562842833293
control,2703,0.41,protein level,0.6446458383019318
cancer,6333,0.42,peptide level,0.15168862275449102
control,10693,0.42,peptide level,0.2561197604790419
cancer,2378,0.42,protein level,0.567135702361078
control,2782,0.42,protein level,0.6634867636537085
cancer,6935,0.43,peptide level,0.16610778443113772
control,11638,0.43,peptide level,0.27875449101796407
cancer,2467,0.43,protein level,0.5883615549725734
control,2849,0.43,protein level,0.679465776293823
cancer,7610,0.44,peptide level,0.1822754491017964
control,12591,0.44,peptide level,0.3015808383233533
cancer,2537,0.44,protein level,0.6050560457906033
control,2930,0.44,protein level,0.6987836870975436
cancer,8352,0.45,peptide level,0.20004790419161678
control,13525,0.45,peptide level,0.32395209580838324
cancer,2601,0.45,protein level,0.6203195802528023
control,3008,0.45,protein level,0.7173861197233484
cancer,9093,0.46,peptide level,0.21779640718562873
control,14499,0.46,peptide level,0.3472814371257485
cancer,2679,0.46,protein level,0.6389220128786072
control,3072,0.46,protein level,0.7326496541855474
cancer,9822,0.47,peptide level,0.23525748502994012
control,15501,0.47,peptide level,0.3712814371257485
cancer,2746,0.47,protein level,0.6549010255187216
control,3151,0.47,protein level,0.7514905795373241
cancer,10560,0.48,peptide level,0.25293413173652696
control,16518,0.48,peptide level,0.39564071856287425
cancer,2821,0.48,protein level,0.672787979966611
control,3215,0.48,protein level,0.766754113999523
cancer,11405,0.49,peptide level,0.2731736526946108
control,17523,0.49,peptide level,0.4197125748502994
cancer,2881,0.49,protein level,0.6870975435249225
control,3274,0.49,protein level,0.7808251848318626
cancer,12159,0.5,peptide level,0.29123353293413173
control,18477,0.5,peptide level,0.442562874251497
cancer,2944,0.5,protein level,0.7021225852611496
control,3336,0.5,protein level,0.7956117338421178
cancer,12923,0.51,peptide level,0.30953293413173655
control,19411,0.51,peptide level,0.4649341317365269
cancer,3005,0.51,protein level,0.7166706415454329
control,3389,0.51,protein level,0.8082518483186263
cancer,13701,0.52,peptide level,0.32816766467065867
control,20279,0.52,peptide level,0.4857245508982036
cancer,3068,0.52,protein level,0.7316956832816599
control,3452,0.52,protein level,0.8232768900548533
cancer,14488,0.53,peptide level,0.3470179640718563
control,21215,0.53,peptide level,0.5081437125748502
cancer,3125,0.53,protein level,0.7452897686620558
control,3493,0.53,protein level,0.8330550918196995
cancer,15272,0.54,peptide level,0.3657964071856287
control,22070,0.54,peptide level,0.5286227544910179
cancer,3179,0.54,protein level,0.7581683758645361
control,3533,0.54,protein level,0.8425948008585739
cancer,16088,0.55,peptide level,0.38534131736526944
control,22922,0.55,peptide level,0.5490299401197605
cancer,3228,0.55,protein level,0.7698545194371572
control,3579,0.55,protein level,0.8535654662532792
cancer,16864,0.56,peptide level,0.40392814371257485
control,23704,0.56,peptide level,0.5677604790419162
cancer,3277,0.56,protein level,0.7815406630097782
control,3602,0.56,protein level,0.859050798950632
cancer,17615,0.57,peptide level,0.42191616766467066
control,24502,0.57,peptide level,0.586874251497006
cancer,3314,0.57,protein level,0.7903648938707369
control,3631,0.57,protein level,0.8659670880038158
cancer,18403,0.58,peptide level,0.44079041916167666
control,25228,0.58,peptide level,0.6042634730538922
cancer,3360,0.58,protein level,0.8013355592654424
control,3658,0.58,protein level,0.8724063916050561
cancer,19147,0.59,peptide level,0.45861077844311376
control,25844,0.59,peptide level,0.6190179640718563
cancer,3395,0.59,protein level,0.8096828046744574
control,3681,0.59,protein level,0.8778917243024088
cancer,19894,0.6,peptide level,0.47650299401197604
control,26531,0.6,peptide level,0.6354730538922155
cancer,3430,0.6,protein level,0.8180300500834724
control,3705,0.6,protein level,0.8836155497257334
cancer,20648,0.61,peptide level,0.49456287425149703
control,27145,0.61,peptide level,0.6501796407185628
cancer,3468,0.61,protein level,0.827092773670403
control,3732,0.61,protein level,0.8900548533269735
cancer,21343,0.62,peptide level,0.5112095808383234
control,27746,0.62,peptide level,0.6645748502994012
cancer,3516,0.62,protein level,0.8385404245170522
control,3758,0.62,protein level,0.8962556642022418
cancer,22066,0.63,peptide level,0.5285269461077844
control,28353,0.63,peptide level,0.6791137724550899
cancer,3551,0.63,protein level,0.8468876699260672
control,3776,0.63,protein level,0.9005485332697353
cancer,22725,0.64,peptide level,0.5443113772455089
control,28922,0.64,peptide level,0.6927425149700599
cancer,3589,0.64,protein level,0.8559503935129978
control,3796,0.64,protein level,0.9053183877891724
cancer,23400,0.65,peptide level,0.5604790419161677
control,29432,0.65,peptide level,0.7049580838323354
cancer,3625,0.65,protein level,0.8645361316479847
control,3812,0.65,protein level,0.9091342714047221
cancer,24090,0.66,peptide level,0.5770059880239521
control,29939,0.66,peptide level,0.7171017964071856
cancer,3660,0.66,protein level,0.8728833770569998
control,3833,0.66,protein level,0.9141426186501311
cancer,24727,0.67,peptide level,0.5922634730538923
control,30398,0.67,peptide level,0.7280958083832335
cancer,3693,0.67,protein level,0.8807536370140711
control,3851,0.67,protein level,0.9184354877176246
cancer,25365,0.68,peptide level,0.6075449101796407
control,30855,0.68,peptide level,0.7390419161676647
cancer,3709,0.68,protein level,0.8845695206296208
control,3869,0.68,protein level,0.9227283567851181
cancer,25981,0.69,peptide level,0.6222994011976047
control,31269,0.69,peptide level,0.7489580838323353
cancer,3720,0.69,protein level,0.8871929406153113
control,3886,0.69,protein level,0.9267827331266396
cancer,26570,0.7,peptide level,0.6364071856287425
control,31655,0.7,peptide level,0.7582035928143712
cancer,3741,0.7,protein level,0.8922012878607203
control,3898,0.7,protein level,0.929644645838302
cancer,27120,0.71,peptide level,0.6495808383233533
control,31992,0.71,peptide level,0.7662754491017965
cancer,3758,0.71,protein level,0.8962556642022418
control,3909,0.71,protein level,0.9322680658239924
cancer,27700,0.72,peptide level,0.6634730538922156
control,32380,0.72,peptide level,0.7755688622754491
cancer,3774,0.72,protein level,0.9000715478177915
control,3921,0.72,protein level,0.9351299785356547
cancer,28189,0.73,peptide level,0.675185628742515
control,32713,0.73,peptide level,0.7835449101796407
cancer,3792,0.73,protein level,0.904364416885285
control,3929,0.73,protein level,0.9370379203434295
cancer,28652,0.74,peptide level,0.6862754491017964
control,33044,0.74,peptide level,0.7914730538922156
cancer,3808,0.74,protein level,0.9081803005008348
control,3940,0.74,protein level,0.93966134032912
cancer,29171,0.75,peptide level,0.6987065868263473
control,33362,0.75,peptide level,0.7990898203592814
cancer,3830,0.75,protein level,0.9134271404722156
control,3946,0.75,protein level,0.9410922966849511
cancer,29655,0.76,peptide level,0.7102994011976048
control,33660,0.76,peptide level,0.8062275449101797
cancer,3841,0.76,protein level,0.916050560457906
control,3959,0.76,protein level,0.9441927021225852
cancer,30150,0.77,peptide level,0.7221556886227545
control,33927,0.77,peptide level,0.812622754491018
cancer,3851,0.77,protein level,0.9184354877176246
control,3962,0.77,protein level,0.9449081803005008
cancer,30584,0.78,peptide level,0.7325508982035928
control,34174,0.78,peptide level,0.8185389221556886
cancer,3863,0.78,protein level,0.9212974004292869
control,3968,0.78,protein level,0.946339136656332
cancer,31064,0.79,peptide level,0.7440479041916168
control,34399,0.79,peptide level,0.8239281437125748
cancer,3879,0.79,protein level,0.9251132840448366
control,3974,0.79,protein level,0.9477700930121631
cancer,31446,0.8,peptide level,0.7531976047904192
control,34614,0.8,peptide level,0.8290778443113772
cancer,3889,0.8,protein level,0.9274982113045552
control,3983,0.8,protein level,0.9499165275459098
cancer,31860,0.81,peptide level,0.7631137724550898
control,34821,0.81,peptide level,0.8340359281437125
cancer,3899,0.81,protein level,0.9298831385642737
control,3999,0.81,protein level,0.9537324111614596
cancer,32252,0.82,peptide level,0.7725029940119761
control,35039,0.82,peptide level,0.8392574850299401
cancer,3906,0.82,protein level,0.9315525876460768
control,4008,0.82,protein level,0.9558788456952063
cancer,32620,0.83,peptide level,0.781317365269461
control,35241,0.83,peptide level,0.8440958083832335
cancer,3911,0.83,protein level,0.9327450512759361
control,4011,0.83,protein level,0.9565943238731218
cancer,32999,0.84,peptide level,0.7903952095808383
control,35457,0.84,peptide level,0.8492694610778443
cancer,3921,0.84,protein level,0.9351299785356547
control,4018,0.84,protein level,0.9582637729549248
cancer,33332,0.85,peptide level,0.7983712574850299
control,35639,0.85,peptide level,0.85362874251497
cancer,3928,0.85,protein level,0.9367994276174577
control,4022,0.85,protein level,0.9592177438588123
cancer,33631,0.86,peptide level,0.8055329341317365
control,35833,0.86,peptide level,0.8582754491017964
cancer,3936,0.86,protein level,0.9387073694252326
control,4029,0.86,protein level,0.9608871929406153
cancer,33931,0.87,peptide level,0.8127185628742515
control,36010,0.87,peptide level,0.8625149700598802
cancer,3946,0.87,protein level,0.9410922966849511
control,4036,0.87,protein level,0.9625566420224183
cancer,34224,0.88,peptide level,0.8197365269461078
control,36172,0.88,peptide level,0.8663952095808384
cancer,3959,0.88,protein level,0.9441927021225852
control,4042,0.88,protein level,0.9639875983782494
cancer,34501,0.89,peptide level,0.8263712574850299
control,36322,0.89,peptide level,0.8699880239520958
cancer,3968,0.89,protein level,0.946339136656332
control,4046,0.89,protein level,0.9649415692821369
cancer,34775,0.9,peptide level,0.832934131736527
control,36484,0.9,peptide level,0.8738682634730539
cancer,3975,0.9,protein level,0.948008585738135
control,4048,0.9,protein level,0.9654185547340806
cancer,35027,0.91,peptide level,0.8389700598802395
control,36607,0.91,peptide level,0.8768143712574851
cancer,3981,0.91,protein level,0.9494395420939661
control,4050,0.91,protein level,0.9658955401860243
cancer,35239,0.92,peptide level,0.8440479041916168
control,36772,0.92,peptide level,0.8807664670658683
cancer,3985,0.92,protein level,0.9503935129978536
control,4055,0.92,protein level,0.9670880038158837
cancer,35480,0.93,peptide level,0.8498203592814372
control,36914,0.93,peptide level,0.8841676646706587
cancer,3992,0.93,protein level,0.9520629620796566
control,4061,0.93,protein level,0.9685189601717148
cancer,35685,0.94,peptide level,0.8547305389221557
control,37060,0.94,peptide level,0.8876646706586826
cancer,3998,0.94,protein level,0.9534939184354877
control,4064,0.94,protein level,0.9692344383496303
cancer,35856,0.95,peptide level,0.8588263473053892
control,37194,0.95,peptide level,0.8908742514970059
cancer,4005,0.95,protein level,0.9551633675172907
control,4071,0.95,protein level,0.9709038874314333
cancer,36045,0.96,peptide level,0.8633532934131737
control,37309,0.96,peptide level,0.89362874251497
cancer,4010,0.96,protein level,0.9563558311471501
control,4075,0.96,protein level,0.9718578583353208
cancer,36262,0.97,peptide level,0.8685508982035928
control,37454,0.97,peptide level,0.8971017964071857
cancer,4017,0.97,protein level,0.9580252802289531
control,4079,0.97,protein level,0.9728118292392082
cancer,36418,0.98,peptide level,0.8722874251497006
control,37565,0.98,peptide level,0.8997604790419161
cancer,4021,0.98,protein level,0.9589792511328404
control,4082,0.98,protein level,0.9735273074171238
cancer,36576,0.99,peptide level,0.8760718562874251
control,37678,0.99,peptide level,0.9024670658682634
cancer,4024,0.99,protein level,0.9596947293107561
control,4083,0.99,protein level,0.9737658001430957
cancer,36728,1,peptide level,0.8797125748502994
control,37792,1,peptide level,0.9051976047904191
cancer,4027,1,protein level,0.9604102074886716
control,4086,1,protein level,0.9744812783210112
cancer,41190,2,peptide level,0.9865868263473054
control,41334,2,peptide level,0.9900359281437126
cancer,4168,2,protein level,0.9940376818507035
control,4177,2,protein level,0.9961841163844503
