R.FileName,R.Condition,R.Replicate,MedianNormalizationFactor,normalization_outlier
20230224_Exp...S_OT2_MixA_TR1,HYE mix A,1,1.071313935371379,no
20230224_Exp...S_OT2_MixA_TR2,HYE mix A,2,0.9922638718424137,no
20230224_Exp...S_OT2_MixA_TR3,HYE mix A,3,1.024133750491409,no
20230224_Exp...S_OT2_MixA_TR4,HYE mix A,4,1.074127389082263,no
20230224_Exp...S_OT2_MixB_TR1,HYE mix B,1,1.0305239964181454,no
20230224_Exp...S_OT2_MixB_TR2,HYE mix B,2,0.9414677394645137,no
20230224_Exp...S_OT2_MixB_TR3,HYE mix B,3,0.9251445861074807,no
20230224_Exp...S_OT2_MixB_TR4,HYE mix B,4,0.8988186279074798,no
